assetId;assetName;assetTag;
AE38;;bono-soberano-usd;
AE38C;;bono-soberano-usd;
AE38D;;bono-soberano-usd;
AL29;;bono-soberano-usd;
AL29C;;bono-soberano-usd;
AL29D;;bono-soberano-usd;
AL30;;bono-soberano-usd;
AL30C;;bono-soberano-usd;
AL30D;;bono-soberano-usd;
AL35;;bono-soberano-usd;
AL35C;;bono-soberano-usd;
AL35D;;bono-soberano-usd;
AL41;;bono-soberano-usd;
AL41C;;bono-soberano-usd;
AL41D;;bono-soberano-usd;
GD29;;bono-soberano-usd;
GD29C;;bono-soberano-usd;
GD29D;;bono-soberano-usd;
GD30;;bono-soberano-usd;
GD30C;;bono-soberano-usd;
GD30D;;bono-soberano-usd;
GD35;;bono-soberano-usd;
GD35C;;bono-soberano-usd;
GD35D;;bono-soberano-usd;
GD38;;bono-soberano-usd;
GD38C;;bono-soberano-usd;
GD38D;;bono-soberano-usd;
GD41;;bono-soberano-usd;
GD41C;;bono-soberano-usd;
GD41D;;bono-soberano-usd;
GD46;;bono-soberano-usd;
GD46C;;bono-soberano-usd;
GD46D;;bono-soberano-usd;
CUAP;;bono-soberano-ser;
DICP;;bono-soberano-ser;
DIP0;;bono-soberano-ser;
PAP0;;bono-soberano-ser;
PARP;;bono-soberano-ser;
PR13;;bono-soberano-ser;
PR15;;bono-soberano-pesos-tasa-variable;
TD23;;bono-soberano-pesos-tasa-fija;
TO26;;bono-soberano-pesos-tasa-fija;
PBY22;;bono-provincial-pesos;
FORM3;;bono-provincial-dolar-linked;
CO26;;bono-provincial-dolar;
SARH;;bono-provincial-dolar;
TFU27;;bono-provincial-dolar;
TVPA;;cupon-pbi;
TVPE;;cupon-pbi;
TVPP;;cupon-pbi;
TVPY;;cupon-pbi;
